Rhum Fraise,"Ingrédients : rhum blanc ,fraises ,sucre roux (cassonade) .Réalisez la recette ""Rhum Fraise"" directement en bouteilles.Couper les fraises en 2, ajouter les morceaux de sucre roux et verser le rhum.Servir dans un...",3,"",true
Poulet basquaise,"Ingrédients : poulet, tomate, poivron, oignon, ail, vin blanc, bouquet garni, huile d'olive, sel, poivre.Hacher l'oignon et l'ail. Couper les tomates en morceaux et détailler les poivrons en lanières. Faire chauffer...",4.7,1h20,true
tiramisu cafe,"mascarpone, cafe, poudre de cacao",,,true
Poulet coco réunionnais,"Ingrédients : poulet, lait de coco, coulis de tomate, oignon, poivron rouge, huile d'olive, poivre, sel.Dans une cocotte, faire dorer les morceaux de poulet dans l'huile d'olive. Saler, poivrer.  Ajouter de l'eau et...",4.6,1h20,false
Poulet basquaise,"Ingrédients : poulet, tomate, poivron, oignon, ail, vin blanc, bouquet garni, huile d'olive, sel, poivre.Hacher l'oignon et l'ail. Couper les tomates en morceaux et détailler les poivrons en lanières. Faire chauffer...",4.7,1h20,false
Smoothie Mango Tango,"Ingrédients : mangue, banane, yaourt nature, fruits, glaçons.Mélanger le tout en coupant les mangues en gros dés et la banane en rondelles.  Ajouter les yaourts, les glaçons et le jus de fruits (à voir selon...",0,5 min,false
Poulet basquaise,"","","",false
Flan de homard,"Ingrédients : homard, lait entier, oeuf, poivre, sel, muscade, beurre, farine, crème fraîche, jaune d'oeuf, crevettes, armagnac, crevettes, poivre, sel.Préparer le flan : faire bouillir le lait, hors du feu,...",3,1h05,false
HOMARD AU BARBECUE,"Ingrédients : homard, crème fraîche, vin blanc sec, curry, safran, piment, cognac, poivre, sel, huile d'olive, ail, estragon, beurre.Couper le homard en deux dans le sens de la longueur, vider les parties crémeuses...",3,30 min,false
Amuse-gueules litchi crevette,"Ingrédients : litchi, crevette rose, menthe.Décortiquer les crevettes, égoutter les litchis, et laver la menthe. Dans chaque lychee, insérer une feuille de menthe et une crevette. Piquer le tout avec le bâtonnet...",4.7,20 min,false
